pub_number,title,abstract,publication_date,ipc_primary,kind
20180130361,SYSTEMS AND METHODS FOR ADAPTIVE PROPERTY ANALYSIS VIA AUTONOMOUS VEHICLES,"An unmanned aerial vehicle (UAV) assessment and reporting system may conduct micro scans of a wide variety of property types. A risk zone within which the UAV may navigate during the micro scan may include a plurality of virtual tags that identify navigational hazards relevant to the navigation of the UAV at a specific location or specify scan actions to be implemented while the UAV is at the specific location. Scan data from any of a wide variety of sensor types may be compared with profile data using computer vision techniques to identify characteristics, defects, damage, construction materials, and the like. A rule set evaluator may evaluate tags and/or matched profile data to determine adaptive actions to modify the navigation or scanning process of the UAV.",20180510,B64C39/02,A1
20180131592,SYSTEM FOR DEFINING AND IMPLEMENTING PERFORMANCE MONITORING REQUIREMENTS FOR APPLICATIONS AND HOSTED COMPUTING ENVIRONMENT INFRASTRUCTURE,"Object automated determination of monitors associated with a component (i.e., application/software, middleware, hardware or the like) that has yet to be implemented within a computing environment infrastructure. Such a determination of the monitors relies on deploying one or more probes that scan through various, if not all, layers of the computing environment infrastructure, such as the hardware, the network, storage, operating systems, virtual layer, middleware, database, application layer, and/or the application to identify possible monitoring requirements. In this regard, the probes scan the environment to determine downstream services that effect the component and the upstream services effected by the component and the set-up/configurations associated with those services. Once the services and corresponding configurations have been identified, the appropriate monitors can be determined. In addition, automated determination of the monitoring configurations associated with the monitors based at least historical behavior/performance of the same or similar components in the computing environment.",20180510,G06F17/30,A1
20180134334,QUADRANT CONFIGURATION OF ROBOTIC VEHICLES CROSS-REFERENCE TO RELATED APPLICATIONS,"Systems, apparatus and methods to implement sectional design (e.g., in quadrants) of an autonomous vehicle may include modular construction techniques to assemble an autonomous vehicle from multiple structural sections. The multiple structural sections may be configured to implement radial and bilateral symmetry. A structural section based configuration may include a power supply configuration (e.g., using rechargeable batteries) including a double-backed power supply system. The power supply system may include a kill switch disposed on a power supply (e.g., at an end of a rechargeable battery). The kill switch may be configured to disable the power supply system in the event of an emergency or after a collision, for example. The radial and bilateral symmetry may provide for bi-directional driving operations of the autonomous vehicle as the vehicle may not have a designated front end or a back end.",20180517,B60L15/20,A1
20180137216,System for Generating a Model and Estimating a Cost using an Autonomous Inspection Vehicle,"Disclosed systems and methods estimate a financial cost to remedy estimated damage to a building. A controllable inspection vehicle, such as an aircraft, may capture one or more images of the building. The one or more images may be utilized to generate a model of the building, which can be analyzed to estimate the damage to the building.",20180517,G06F17/50,A1
20180143312,SYSTEM AND METHOD FOR ULTRA WIDEBAND SIGNAL USAGE WITH AUTONOMOUS VEHICLES IN BUILDINGS,"A product distribution system in a building includes an unmanned vehicle and a control circuit in the unmanned vehicle. The unmanned vehicle operates independently within the building. The unmanned vehicle is configured to transmit and receive first ultra wideband (UWB) signals. The control circuit is configured to determine the position of the unmanned vehicle based upon an analysis of at least some of the first UWB signals, and to navigate the unmanned vehicle according to the position. The unmanned vehicle is configured to transmit second UWB signals to a device operating within the building, and responsively receive third UWB signals from the device. Based upon the analyzing of the third UWB signals, the control circuit determines a position of the device to avoid a collision between the unmanned vehicle and the device.",20180524,G01C21/20,A1
20180156618,DEVICES AND METHODS TO FACILITATE ESCAPE FROM A VENUE WITH A SUDDEN HAZARD,"A device and associated methods for escaping from a venue when a threat is detected is described. Venues can be buildings or outside areas and contain the area where the threat constitutes a hazard to a protected person. Threats include fire, terrorists, gunmen, explosion, collapse, loss of critical resources and crowd panic. The device incorporates a machine learning system implemented with a neural network or other pattern matching system and is trained in steps. Pre-training is based on general requirements such as edge-detection and audio analysis. Principles and data for venue layouts and human behavior can be included. The produced model is further trained from data gathered from sensors and servers after entry into the venue. Operation of the model produces warnings of threats and a plan of escape with steps of the plan communicated to the protected person by audio, visual or tactile sensory channels.",20180607,G01C21/20,A1
20180160254,METHODS AND SYSTEM FOR CUSTOM APPLICATION DEVELOPMENT,"An application platform of mobile video-messaging provides a standardized and automated process for building customized applications on independent deployed platforms across various industry verticals including sport, entertainment, tourism, health, safety, education, business, and politics. The branding application platform may be used to create a plurality of different types of applications of different categories, based on needs and wants defined by an operating entity.",20180607,G06Q30/02,A1
20180196739,SYSTEM AND METHOD FOR SAFETY-CRITICAL SOFTWARE AUTOMATED REQUIREMENTS-BASED TEST CASE GENERATION,"Automated requirements-based test case generation method includes constructing a software architecture model derived from software design model architectural information, allocating requirement models into blocks/operators of the software architecture model, and generating component-level requirements-based test cases from the software architecture configured to be executable at different levels in the software architecture. The component-level requirements-based test case generation method includes receiving a software architecture along with allocated requirement models represented in hierarchical data flow diagram, selecting one of the software components, building an intermediate test model based on the selected component by automatically attaching at least one of test objectives or constraints to the corresponding software architecture model blocks/operators based on the selected test strategy, and generating human and machine readable test cases with the test generator for further automatic conversion to test executable and test review artifacts. A system and a non-transitory computer-readable medium for implementing the method are also disclosed.",20180712,G06F11/36,A1
20180239902,VALIDATION OF SECURITY MONITORING THROUGH AUTOMATED ATTACK TESTING,"Systems, devices, and methods of an automatic attack testing framework for the security testing of an operational service are disclosed. In an example, such systems, devices, and methods may include operations that: deploy command instructions and a payload for a bot process to a computing device located within a target infrastructure, with the command instructions being selected based on criteria to test a security feature in the target infrastructure with an automated attack action in the bot process, and with the bot process being executed on the computing device and being started with use of the command instructions and the payload; communicate with the computing device to control the automated attack action within the target infrastructure, such that the automated attack action is performed within the bot process; and obtain results of the automated attack action performed within the bot process from the computing device.",20180823,G06F21/53,A1
20180248754,AUTOMATED CHANGE MONITORING AND IMPROVEMENT RECOMMENDATION SYSTEM FOR INCIDENT REDUCTION IN INFORMATION TECHNOLOGY INFRASTRUCTURE,"A method includes obtaining, from a service management database, one or more change tickets and one or more incident tickets relating to an information technology infrastructure, defining one or more change-incident pairs based on linkages between the incident tickets and the change tickets, identifying, from the change-incident pairs, one or more dimensions affecting outcomes of implementation of one or more change types, generating at least one recommendation for altering implementation of subsequent changes of a given change type to the information technology infrastructure based on the identified dimensions, applying the at least one recommendation to the implementation of one or more subsequent changes of the given change type to configuration items in the information technology infrastructure, monitoring the information technology infrastructure to determine outcomes of the subsequent changes of the given change type, and modifying the at least one recommendation responsive to the monitoring.",20180830,G06F17/30,A1
20180262571,Integrated IoT (Internet of Things) System Solution for Smart Agriculture Management,"Currently there is no viable end to end integrated technology solution platform available to increase overall crop yield nor well established communication platform nor infrastructure for agriculture management, logistics, storage, distribution and delivery. This patent is offering a global solution to this problem where it will provide a consolidated and integrated IoT (internet of things) system platform with AI (artificial intelligence) where data collection, monitoring, control and communication platform are all managed using a single platform. The utility model relates to the technical field of wireless sensing, specifically an agricultural IoT (Internet of Things) monitoring device based on optical fiber sensing, wherein the device can monitor the temperature, humidity, vibration and other parameters of an agricultural cultivation base. The device is characterized in that the device is provided with a microcontroller, a parameter recorder and the parameter recorder is connected with the sensors. For example: soil temperature sensor and humidity sensors, a soil moisture sensor, a soil conductivity sensor, an air temperature and humidity transducer, a soil salinity sensor, etc. The upper computer is connected with the parameter recorder and the air temperature and humidity transducer through a communication circuit and using WiFi mesh network, data is transferred to a remote laptop or smartphone. Data is stored in cloud for predictive data analysis with AI and real time data analysis which automatically or remotely trigger proactive & preventive actions, thereby increasing crop yield, reduce water consumption and food waste during storage and streamlined logistics of food distribution to the market. User has the option to control how often data is generated and the relevant information. User can set automatic trigger to manage proactive and preventive action on the control system. User can also remotely access and manual set future action either via smart phone or tablet based on actionable output from predictive data analytics. This single integrated IoT system platform is providing end to end solution that is reliable, suitable and effective for agriculture, greenhouse, lawn/yard and garden (both indoor and outdoor) applications. This integrated IoT system is also applicable in various sector such as: Geotechnical soil testing, Oil and Gas Industries (drilling, flow control, oil pipeline management, oil refineries management), Air quality and Waste management, Semiconductor fabrication and Chemical Plant management, Oceanography and atmospheric/environmental science data monitoring for global warming, Fisheries/Aquaculture management, Data center and Cloud device management, Enterprise sustainability management, Inventory, logistics and Supply Chain management and Infrastructure (road, bridges, tunnels, dams, airports, electric grid) management. This integrated IoT system is also applicable to detect earthquake and tsunami where the sensor devices are embedded with multiple sensors installed in the buildings, bridges, bus stops, underground pits, lakes, roads, nearby mountains etc, different data can be captured and analyzed for earthquake predictability and structural integrity of the buildings to prevent collapse during earthquake, a smart alert is sent to mobile phones to authorities to minimize death and destruction.",20180913,A01G25/16,A1
20180262862,Application Development Engine and Method of Performing Same,"An application platform of mobile video-messaging provides a standardized and automated process for building customized applications on independent deployed platforms across various industry verticals including sport, entertainment, tourism, health, safety, education, business, and politics. The branding application platform may be used to create a plurality of different types of applications of different categories, based on needs and wants defined by an operating entity.",20180913,G06Q30/02,A1
20180267562,AUTOMATED AIR TRAFFIC CONTROL OF UNMANNED AIR VEHICLES,"A method and system for automated air traffic management of unmanned vehicles that assures safety and continuous flow, even for vehicles of wide-ranging capabilities. Some embodiments include onboard equipment that distributes the burden of management across all the vehicles in a given airspace so that autonomous cooperation between vehicles creates useful group-level behavior. Vehicles carry definitions of rules of interaction on shared flyways. In conjunction with a means of exchanging location and velocity information with close neighbors, onboard algorithms calculate complementary navigation vectors that inform each vehicle's autopilot of a cooperative trajectory. The collective result of individual, autonomous decisions is cooperation at a group scale that manages traffic features such as density and spacing without the need for a ground-based communication infrastructure.",20180920,B64C39/02,A1
20180269091,CHIP IDENTIFICATION SYSTEM,"Otherwise-unused metal pads are utilized for mechanically marking an identification number on each chip in each reticle of each semiconductor wafer. A chip-specific marking pattern is scribed into selected metal pads using a standard commercial wafer probe controlled by a custom-built controller to direct the probe or probe stage to implement the pattern. Visual inspection (manual and automated) may then be used for die identification based on the probe-marked pattern, including incorporating the visual inspection of these pads into the product building process.",20180920,H01L21/67,A1
20180283020,PRECAST LIGHTWEIGHT WALL PANEL INSTALLATION MACHINE,"A precast lightweight wall panel installation machine is capable for erection and installation of precast lightweight concrete wall panels. The machine includes a frame base holding the panel installation machine, a lifting frame for lifting the precast lightweight concrete wall panel for erection and installation and at least a side hydraulic jack for lifting and flipping the concrete wall panel from packing position onto cart. Safety catch fittings hold the concrete wall panel from slipping off. An electrically operated hydraulic power unit with operating switches provides automated hydraulic lift to the machine. Rear mounted wheels and front mounted casters ease movement of the panel installation machine from one location to another. A power source supplies energy to operate the machine. The machine further includes the lifting frame mounted with adjustable slots to slot in brackets for erection and installation of the concrete wall panel at higher level platform.",20181004,E04G21/16,A1
20180321654,Flow Engine for Building Automated Flows Within a Cloud Based Developmental Platform,"Creating and executing flow plans by performing at least the following: obtaining a run-time flow plan that comprises a trigger, a first operation, and a second operation, wherein the first operation precedes the second operation within the run-time flow plan and one or more input values of the second operation are linked to the first operation, determining whether one or more conditions of the trigger are met, execute the first operation based at least on the determination that the one or more conditions of the trigger are met, monitoring whether the second operation is ready for execution based at least on a determination that the one or more input values of a second action operation are ready, and executing the second action operation when the second action operation has been identified as ready for execution.",20181108,G05B19/042,A1
20180330238,"SYSTEMS AND METHODS TO ENABLE CONTINUAL, MEMORY-BOUNDED LEARNING IN ARTIFICIAL INTELLIGENCE AND DEEP LEARNING CONTINUOUSLY OPERATING APPLICATIONS ACROSS NETWORKED COMPUTE EDGES","Lifelong Deep Neural Network (L-DNN) technology revolutionizes Deep Learning by enabling fast, post-deployment learning without extensive training, heavy computing resources, or massive data storage. It uses a representation-rich, DNN-based subsystem (Module A) with a fast-learning subsystem (Module B) to learn new features quickly without forgetting previously learned features. Compared to a conventional DNN, L-DNN uses much less data to build robust networks, dramatically shorter training time, and learning on-device instead of on servers. It can add new knowledge without re-training or storing data. As a result, an edge device with L-DNN can learn continuously after deployment, eliminating massive costs in data collection and annotation, memory and data storage, and compute power. This fast, local, on-device learning can be used for security, supply chain monitoring, disaster and emergency response, and drone-based inspection of infrastructure and properties, among other applications.",20181115,G06K9/62,A1
20180341535,SYSTEMS AND METHODS FOR COGNITIVE CONTROL OF DATA ACQUISITION FOR EFFICIENT FAULT DIAGNOSIS,"Remote sensing techniques are being increasingly used for periodic structural health monitoring of vast infrastructures. Conventionally, analysis of visual and other signals captured from sensing devices are used to diagnose faults. Such data collection and analysis is expensive in terms of both computational overheads as well as towards robotic maneuvering of data collection systems, such as a UAV. In accordance with the present disclosure, the data acquisition system is modeled as an intelligent situated agent that autonomously controls data gathering and analysis activities through a cognitive cycle of perception-recognition-action, in order to optimize the cost of efforts in identifying faults that may exist. Also, a reactive, economical planning algorithm around Qualitative Bayesian Network (QBN) that controls the sequence of data collection and analysis has been implemented.",20181129,G06F11/07,A1
20180342411,CHIP IDENTIFICATION SYSTEM,"Otherwise-unused metal pads are utilized for mechanically marking an identification number on each chip in each reticle of each semiconductor wafer. A chip-specific marking pattern is scribed into selected metal pads using a standard commercial wafer probe controlled by a custom-built controller to direct the probe or probe stage to implement the pattern. Visual inspection (manual and automated) may then be used for die identification based on the probe-marked pattern, including incorporating the visual inspection of these pads into the product building process.",20181129,H01L21/67,A1
20180347752,WORKSITE SAFETY DEVICE USING LIDAR,"A perimeter safety device comprises a laser, detector, controller and an alarm. The laser emits optical laser radiation into a monitored zone. Laser radiation reflected from an object in the monitored zone is detected by the detector and a range to the object is determined by the controller. An alarm is activated if the object is determined to be in a location that is not authorized. The invention also reside in a network of perimeter safety devices that together define a monitored area formed of monitored zones. A central controller may define a pre-defined “safe” path through the monitored area.",20181206,F16P3/14,A1
20180354143,ROBOTS WITH DYNAMICALLY CONTROLLED POSITION OF CENTER OF MASS,"Dynamic control of a center of mass position is based on replacement of discrete motion of macro body (counterweighing solid or counterbalancing mechanisms) for continuous molecular flow of counterweighing liquid. Redistributing liquid counterweight between chambers attached to independently moving parts of robot allows its motion to new stable position without disruption in static stability and dynamic balance. Various embodiments include bipods/humanoids, wheeled locomotion robots and hybrid wheeled/multi-pod bio-like robotic systems; some embodiments allow reversible mutual reconfiguration between various structural arrangements. In humanoid embodiments, method allows moving on uneven terrain or ascending staircases while maintaining static stability; method also decreases the probability of fall and secures self-rising if a fall occurred. In some embodiments liquid counterweight may be transferred upon high barriers exceeding the height of robot by a few folds, such as walls of the building or ledge or steep slope in mountains, thus providing robots with capability principally not available to prior art.",20181213,B25J19/00,A1
20180358910,ELECTRICAL DRIVE FOR AN INDUSTRIAL ROBOT,"Provided is an electrical drive for an industrial robot, wherein each driver circuit for the associated power switches of the first half-bridge is designed, in the case of a voltage-free or current-free state of the associated control input, to put the power switch associated with the control input into a non-conductive state, each driver circuit for the associated power switches of the second half-bridge is designed, in the case of a voltage-free or current-free state of the associated control input, to put the power switch associated with the control input into a conductive state, and a switching device is provided, which is designed, with the safety signal for the forced switch-off of the rotating-field voltage, to simultaneously switch the control inputs of the driver circuits for all power switches of the inverter into a voltage-free and/or current-free state.",20181213,B25J9/00,A1
20180374038,AUTONOMOUS WIRELESS MOBILE ASSET MONITORING SYSTEM,"Disclose are various approaches for optimizing operation of an autonomous wireless mobile asset monitoring system. The approaches involve detecting the presence of cargo in a mobile asset. First, if energy conservation is a requirement of the system, each zone of the mobile asset is scanned until cargo is detected in one of the zones. Then, the results of the scan are transmitted to backend infrastructure. Alternatively, if energy conservation is not a requirement of the system, every zone of the mobile asset is scanned and the results of the scan are transmitted to backend infrastructure.",20181227,G06Q10/08,A1
20180375947,AUTOMATED COMMUNICATION-BASED INTELLIGENCE ENGINE,"A system that creates and automatically builds one or more entity models that are derived from communication-based information received over a network. Building the entity models uses machine learning, a user interface, a sentiment analyzer, a communication monitoring agent and an automated bot. Bots are created based on a bot template. New communication-based information is analyzed and processed to improve the entity model, to keep the bot up-to-date, and to update other services and products that the entity relies on. The system enables a business to cluster other entities together to assist in identifying competitors. The system provides analytical information about how users journey through an entity model. The system automatically maintains listings such as frequently asked questions. The system works in a networked environment, which may be a distributed network.",20181227,G06Q30/02,A1
20190026886,INFRASTRUCTURE MONITORING SYSTEM ON AUTONOMOUS VEHICLES,Provided herein are platforms for determining a non-navigational quality of at least one infrastructure by a plurality of autonomous or semi-autonomous land vehicles through infrastructure recognition and assessment.,20190124,G05D1/00,A1
20190028546,METHOD AND APPARATUS FOR BIOLOGICALLY INSPIRED AUTONOMOUS INFRASTRUCTURE MONITORING,"A method and apparatus are provided for autonomously detecting and reporting anomalies in actions of an autonomous mobile node, or in behaviors of a swarm of autonomous mobile nodes to an operator. The autonomous mobile node may experience anomalies or unexpected situations due to various failures or external influence (e.g. natural weather phenomena, enemy threats). During a training phase a prediction model and a structured model may be established from measurement data received from one or more sensors of an autonomous mobile node or a swarm of nodes while executing an action or behavior under normal circumstances. A prediction model forecasts the expected outcome of an action or behavior, and structured model helps quantify the similarity of a learned action or behavior to the currently observed situation. Based on the measurement data applicable models can be used for an action or behavior for anomaly detection in the action or behavior.",20190124,G05D1/00,A1
20190036594,RADIO REPEATER SELECTION APPARATUS AND MACHINE LEARNING DEVICE,"A machine learning device included in a radio repeater selection apparatus has: a state monitoring unit that monitors, as state variables representing multiplexed communication path data specifying a construction state of a multiplexed communication paths and multiplexed radio communication state data specifying a state of multiplexed radio communication among devices to be managed; a determination data acquisition unit that acquires determination data designating a result of determination on whether or not the construction state of the multiplexed communication paths is appropriate; and a learning unit that learns the construction state of the multiplexed communication paths and the multiplexed radio communication state data in association with each other on the basis of the state variables and the determination data.",20190131,G06N99/00,A1
20190041850,AUTONOMOUS VEHICLE MODE REGULATOR,"An autonomous vehicle mode regulator system and method comprise transmitting authorization signals from autonomous driving infrastructure on a roadway to a controller module to authorize or inhibit operation of a vehicle in different levels of automation. The controller module controls the level of automation under which the autonomous driving system of the vehicle operates based on the signals received from the autonomous driving infrastructure. In this regard, the controller module can prevent the autonomous driving system of the vehicle from operating in certain levels of automation unless appropriate authorizations signals are received. Similarly, the controller module can permit or even require operation of the vehicle in certain levels of automation upon receipt of certain authorization signals. Still further, the controller module can inhibit or disengage operation of a vehicle in certain levels of automation upon receipt of signals from autonomous driving infrastructure associated with certain driving hazards on the roadway.",20190207,B60W50/029,A1
20190043355,REAL-TIME VIOLATIONS AND SAFETY MONITORING SYSTEM ON AUTONOMOUS VEHICLES,"Provided herein are platforms for determining a real-time human behavior analysis of an unmanned vehicle by a plurality of autonomous or semi-autonomous land vehicles through infrastructure recognition and assessment. The platforms determine a real-time parking status for a plurality of parking locations, a platform for detecting a traffic violation by a manned vehicle at a roadway location, and a platform for monitoring security of a physical location.",20190207,G05D1/00,A1
20190049274,APPARATUS AND SYSTEM FOR BUILDING MONITORING,"Methods, apparatus, systems and articles of manufacture are disclosed herein including a monitoring system for a building including an in-wall guide for a drone, the in-wall guide extending behind at least one wall from a first location to a second location and a power delivery circuit in, or adjacent, the in-wall guide.",20190214,G01D11/30,A1
20190050942,SYSTEMS AND METHODS FOR DYNAMIC REAL-TIME ANALYSIS FROM MULTI-MODAL DATA FUSION FOR CONTEXTUAL RISK IDENTIFICATION,"Disclosed is a system and method to automatically identify property-related risks through the use of computer vision, sensors, and/or building information models (BIMs). The ability to automatically identify a variety of hazards helps mitigate the associated risks, and thus reduces the number of accidents or fatalities that would otherwise occur. In some embodiments, a “risk map” can be generated by mapping the identified risks for a given property.",20190214,G06K9/00,A1
20190061705,AUTOMATED CAR WASH CONVEYOR SYSTEM AND METHODS THERETO,"The disclosed technology includes systems and methods for monitoring a vehicle's position as the vehicle is traversed through an automated car wash system via a conveyor system and can comprise one or more sensors located in a tunnel of the automated car wash system. Embodiments can include targeting specific portions of the vehicle with water and chemical dispensers, washers, and dryers. Embodiments can include determining whether a vehicle deviates from a predetermining conveyor path or from a predetermined spacing with respect to an adjacent vehicle, and if so, initiating measures to prevent a collision.",20190228,B60S3/00,A1
20190088148,AUTONOMOUS TRANSPORTATION SYSTEM AND METHODS,"Autonomous and manually operated vehicles are integrated into a cohesive, interactive environment, with communications to each other and to their surroundings, to improve traffic flow while reducing accidents and other incidents. All vehicles send/receive messages to/from each other, and from infrastructure devices, enabling the vehicles to determine their status, traffic conditions and infrastructure. The vehicles store and operate in accordance with a common set of rules based upon the messages received and other inputs from sensors, databases, and so forth, to avoid obstacles and collisions based upon current and, in some cases, future or predicted behavior. Shared vehicle control interfaces enable the AVs to conform to driving activities that are legal, safe, and allowable on roadways. Such activities enable each AV to drive within safety margins, speed limits, on allowed or legal driving lanes and through allowed turns, intersections, mergers, lane changes, stops/starts, and so forth.",20190321,B60W10/04,A1
20190095268,AUTOMATED ISSUE REMEDIATION FOR INFORMATION TECHNOLOGY INFRASTRUCTURE,"Automated issue remediation for information technology infrastructure comprises invoking an application programming interface to obtain at least one issue object corresponding to an alert generated by a monitoring system; matching the issue object to at least one diagnosis plugin of a plurality of diagnosis plugins; obtaining a prescription object from the diagnosis plugin, the prescription object comprising a remedy; and invoking the remedy after verifying the remedy is authorized to proceed.",20190328,G06F11/07,A1
20190096232,AUGMENTED REALITY OF A  BUILDING,"The present disclosure relates to an augmented reality system including one or more of a building, sensor(s), a gateway, a server, and a monitoring computer. The augmented reality system may further includes drones that capture video or other images of the building. The monitoring computer gathers information from the sensor(s) and/or drones and facilitates the creation of an augmented view of the building to provide intelligence to emergency responders.",20190328,G08B27/00,A1
20190096238,INTELLIGENT ROAD INFRASTRUCTURE SYSTEM (IRIS): SYSTEMS AND METHODS,"The invention provides systems and methods for an Intelligent Road Infrastructure System (IRIS), which facilitates vehicle operations and control for connected automated vehicle highway (CAVH) systems. IRIS systems and methods provide vehicles with individually customized information and real-time control instructions for vehicle to fulfill the driving tasks such as car following, lane changing, and route guidance. IRIS systems and methods also manage transportation operations and management services for both freeways and urban arterials. In some embodiments, the IRIS comprises or consists of one of more of the following physical subsystems: (1) Roadside unit (RSU) network, (2) Traffic Control Unit (TCU) and Traffic Control Center (TCC) network, (3) vehicle onboard unit (OBU), (4) traffic operations centers (TOCs), and (5) cloud information and computing services. The IRIS manages one or more of the following function categories: sensing, transportation behavior prediction and management, planning and decision making, and vehicle control. IRIS is supported by real-time wired and/or wireless communication, power supply networks, and cyber safety and security services.",20190328,G08G1/01,A1
20190108374,SEE ID SYSTEM,"One of the major issues with adding a driverless vehicle to a roadway, populated or not, is how that vehicle is able to keep its location in the required lane of the roadway in which it is operating. Current GPS systems that provide information to autonomous vehicles are not accurate enough for those vehicles to keep their operating positions in a lane on roadways. In inclement weather the GPS system is even less accurate and may not even function. In alternate embodiments the system can be utilized for equipment and personnel identification, such as identifying the location of construction workers and equipment at a construction site in relation to the system. This will provide benefits including, but not limited to, increasing the safety of a construction site, ensuring that only authorized personnel are present on the site and/or within a given area of the site.",20190411,G06K7/10,A1
20190112046,RAIL VEHICLE AND ON-BOARD SAFETY DRONE,"A method for evaluating damage and providing passenger assistance in emergency events involving mass transit vehicles (MTVs), especially emergency events occurring in a tunnel, includes: (a) providing, on-board the MTV, at least one unmanned aerial vehicle (UAV), each UAV including a controller comprising a processor and memory; (b) determining, by the controller of the UVA while on-board the MTV in the tunnel, a change in at least one of the following: an acceleration, positive or negative, greater than a predetermined acceleration, an angle greater than a predetermined angle, a temperature greater than a predetermined temperature, and the presence of particles, gas or both greater than a predetermined concentration; (c) in response to the determining in step (b), the UAV separating from the MTV and becoming airborne within the tunnel; and (d) following step (c), executing, by the UAV, flight movement of the UAV within the tunnel.",20190418,B61B13/10,A1
20190118390,Mobile Robot for Locomotion Through a 3-D Periodic Lattice Environment,"A class of robots specifically adapted to climb periodic lattices. These “relative robots” are designed for a specific lattice structure and use the regularity of the structure to simplify path planning, align with minimal feedback, and reduce the number of degrees of freedom (DOF) required to locomote. These robots can perform vital inspection and repair tasks within the structure that larger truss construction robots cannot perform without modifying the structure. A particular embodiment is a robot designed to traverse a cubooctahedral (CubOct) cellular solids lattice using only two motions: climbing and turning.",20190425,B25J11/00,A1
20190126510,Eccentric Buildup Detection in Concrete Drums,"The present invention provides a method and system for detecting hardened concrete buildup in a mixer drum which is substantially devoid of plastic concrete. An exemplary method involves monitoring the hydraulic pressure required to rotate the drum through at least two successive rotations at constant speed, using a hydraulic pressure sensor on hydraulic charge side, discharge side, or preferably both sides of the hydraulic motor which turns the mixer drum; and detecting when the pressure/time data curve indicates eccentric behavior of the mixer drum, whereby an alarm or other indication is provided to confirm that the hardened concrete buildup in the truck is not acceptable. The buildup detection method and system of the present invention does not require the use of an automated slump monitoring system, but can be implemented in combination with such systems with favorable results and advantages.",20190502,B28C5/42,A1
20190128711,CONTINUOUS UNMANNED AIRBORNE AND UNDERWATER MONITORING PLATFORM,"Provided herein is a continuously unmanned multi-phenomenon sensor system and a continuously unmanned multi-phenomenon sensor platform comprising a plurality of continuously unmanned multi-phenomenon sensor systems for maritime monitoring, that is capable of surveying and monitoring rivers, ports, bays, coastal regions, and the high seas to conduct search operations, monitor for dangerous cargoes, prevent drug and migrant smuggling, enforce fisheries laws, monitor environmental conditions and living marine resources, inspect marine infrastructures, provide navigational aids, and to investigate marine accidents.",20190502,B63G8/00,A1
20190129433,A PATH PLANNING METHOD OF INTELLIGENT ROBOT,"A path planning method of an intelligent robot includes: (1) dividing the operating space into a plurality of rectangular virtual regions having areas of n*m square meters; (2) controlling the intelligent robot to traverse each rectangular virtual region with bow-shaped behavior; (3) when moving in bow-shape, building a raster map with the distance information acquired by distance information sensor, angle information acquired by angle information sensor, collision information acquired by collision detection sensor and obstacle information acquired by obstacle detection sensor, and marking the pass points, obstacle points and collision points; (4) analyzing the raster map in real time to judge if the entire operating space has been fully traversed: if so, moving to step (5); otherwise, returning to step (2); (5) controlling the intelligent robot to make an alongst behavior, and marking the alongst behavior points on the raster map.",20190502,G05D1/00,A1
20190145909,Automated Detection of Fatigue Cracks Around Fasteners Using Millimeter Waveguide Probe,"An automated high-speed method for inspecting metal around fasteners and a computer-controlled apparatus for performing that inspection method. The apparatus comprises a multi-motion inspection head mounted on a scanning bridge, a robotic arm, or a robotic crawler vehicle. The multi-motion inspection head comprises a millimeter waveguide probe and a motorized multi-stage probe placement head that is operable for displacing the waveguide probe along X, Y and Z axes to achieve multiple sequenced motions. The waveguide probe is attached to a mandrel that is rotatably coupled to an X-axis (or Y-axis) stage for rotation about the Z axis. Smart servo or stepper motors with feedback control are used to move the waveguide probe into place and then scan across or around a fastener head to inspect for cracks that may be under paint.",20190516,G01N22/02,A1
20190156531,SERVER-BASED MANAGEMENT OF ROBOTIC PIPE INSPECTION DATA AND ANALYSIS REPORTS,"An embodiment provides for storing, in a server, pipe segment data, e.g., pipe scan data derived from a pipe inspection robot that traversed through an interior of the segment of pipe. The pipe scan data may include three-dimensional (3D) and two-dimensional (2D) image data of the interior of the segment of pipe, where the 2D image data includes a flat graph formed from the 3D image data. In one example, infrastructure summary data is stored in the server, including a level of corrosion and a level of sediment buildup determined based on the pipe scan data. An infrastructure project summary report is based on the infrastructure summary data, and after receiving a request from a client device, the pipe segment data and the infrastructure project summary report are transmitted to the client device.",20190523,G06Q30/06,A1
20190160482,System for Spraying a Wall Surface of a Building and Method therefor,"The present invention provides an automated system for spraying an wall of a building. The automated system comprises a carrier; a robotic mechanism mounted on the carrier, the robotic mechanism further having an end effector adapted to support a spray nozzle thereon; a visual monitoring system configured to scan structural characteristics and profiles of the wall; a computing device disposed in communication with the visual monitoring system and the robotic mechanism, wherein the computing device is configured to receive the scanned structural characteristics and profile of the wall from the visual monitoring system; and a controller communicably coupled to the computing device, the controller configured to independently control operation of respective ones of the robotic mechanism, and the spray nozzle according to the scanned structural characteristics and profiles of the wall.",20190530,B05B12/00,A1
