pub_number,title,abstract,publication_date,ipc_primary
11561541,Dynamically controlling sensor behavior,"An infrastructure is provided for improving the safety of autonomous systems. An autonomous vehicle management system (AVMS) controls one or more autonomous functions or operations performed by a vehicle or machine such that the autonomous operations are performed in a safe manner. The AVMS is capable of dynamically controlling the behavior of sensors associated with a vehicle. For example, for a sensor, the AVMS can dynamically change and control what sensor data is captured by the sensor and/or communicated from the sensor to the AVMS (e.g., granularity/resolution, field of view, control zoom), when the data is captured by the sensor and/or communicated by the sensor to the AVMS (e.g., on-demand, according to a schedule), and how the data is captured by the sensor and/or communicated from the sensor to the AVMS (e.g., communication format, communication protocol, rate of data communication).",20230124,B60W50/00
11561546,Tunnel-based planning system for autonomous driving vehicles,"According to one embodiment, a system receives a captured image perceiving an environment of an autonomous driving vehicle (ADV) from an image capturing device of the ADV capturing a plurality of obstacles near the ADV. The system generates a first tunnel based on a width of a road lane for the ADV, where the first tunnel represents a passable lane for the ADV to travel through. The system generates one or more additional tunnels based on locations of the obstacles, where the one or more additional tunnels modify a width of the passable lane according to a level of invasiveness of the obstacles. The system generates a trajectory of the ADV based on the first and the additional tunnels to control the ADV according to the trajectory to navigate around the obstacles without collision.",20230124,B60W30/09
11566402,System for domotic control of a plumbing installation and method of operation to increase the water efficiency of the same,"The present invention relates to a water control system for the cold and hot water plumbing installations, for consumption or heating and gray water in a home, premises or building which increases water and/or energy efficiency of the installation by means of a method of operation which reduces the water consumption or energy used in its consumption and treatment: detecting and controlling water leaks, avoiding consumption of cold water which is produced while waiting for hot water to come out, reducing the energy required for consuming hot water, reducing consumption of water when it is used for the toilet together with a soap, foam or similar, measuring and controlling the proliferation of Legionella bacteria and other microorganisms, cleaning pipes and in general monitoring the control variables of a plumbing installation and its visualization and interaction by a user or a smart and autonomous IT system.",20230131,E03B1/04
11568597,Automated supervision and inspection of assembly process,A method and apparatus for performing automated supervision and inspection of an assembly process. The method is implemented using a computer system. Sensor data is generated at an assembly site using a sensor system positioned relative to the assembly site. A three-dimensional global map for the assembly site and an assembly being built at the assembly site is generated using the sensor data. A current stage of an assembly process for building an assembly at the assembly site is identified using the three-dimensional global map. A context for the current stage is identified. A quality report for the assembly is generated based on the three-dimensional global map and the context for the current stage.,20230131,G06T17/05
11573005,"Building egress lighting apparatus, system, method and computer program product",A modular and decentralized architecture for building illuminated means of egress from a device level to a building system level wherein a plurality of communicatively networked building egress devices with processing capability coupled to sensing and output devices and governed by an artificial intelligence (AI) engine establish local device self-awareness that enhances building life safety performance while providing utility to other building disciplines.,20230207,F21V23/00
11583770,Systems and methods for machine learning-based emergency egress and advisement,"The disclosed systems and methods provide for generating real-time egress plans for users in a building, based on the users' current locations. As the users' current locations change, egress plans associated with the users can be dynamically modified in real-time. The egress plans can also be generated, modified, and/or trained based on inputted information about the user. The disclosed technology can include a mobile application for presenting, in a centralized interface, information about user-specific egress plans, training the user for different emergency scenarios, improving or changing features in the building to improve safety, and user profiles. The mobile application can include training simulation games to help prepare the users to safely egress during an emergency. The disclosed technology can also predict building component and structure emergency risk levels. The disclosed technology can also designate zones in the building based on possible egress routes.",20230221,A63F13/5378
11586201,Method and apparatus for recognizing a stuck status as well as computer storage medium,"The present disclosure proposes a method and an apparatus for recognizing a stuck status as well as a computer storage medium, with the method comprising: building an environmental map within a preset extent by taking the current position of the mobile robot as center; real-time monitoring the march information of the mobile robot and predicting whether the mobile robot is stuck or not; acquiring data from multiple sensors of the mobile robot, if the mobile robot is stuck; and recognizing the current stuck status of the mobile robot based on the data from multiple sensors.",20230221,G01C21/00
11593952,Structural vibration monitoring method based on computer vision and motion compensation,"A structural vibration monitoring method based on computer vision and motion compensation provided in the present disclosure adopts a dual-camera system for self-motion compensation. The dual-camera system consists of a primary camera and a secondary camera rigidly connected to each other. The primary camera directly measures a structure displacement. This method inevitably includes an error generated due to motion of the primary camera. Meanwhile, the secondary camera measures displacements of translation and rotation, so as to estimate a measurement error caused by the motion of the primary camera. Then, with the displacement directly measured by the main camera minus the measurement error, a corrected structure displacement is obtained, thereby truthfully and accurately monitoring vibrations of a bridge structure.",20230228,G01H9/00
11594021,Method and system for maintaining tunnel using tunnel image data,"Provided are a method and a system for analyzing image data obtained by photographing a tunnel by a drone using artificial intelligence, in tunnel maintenance inspection, rapidly and accurately finding a part that requires maintenance of the tunnel, and calculating a maintenance solution and a maintenance estimate for the part. The system for maintaining a tunnel by analyzing tunnel image data received from a drone using artificial intelligence, includes: the drone that photographs a tunnel to generate the tunnel image data; a position signal generating apparatus that is provided inside the tunnel and generates a position signal for determining position information of the drone in the tunnel; and an artificial intelligence tunnel maintenance apparatus that finds a part of the tunnel that requires maintenance, and calculates an optimal maintenance solution and an optimal maintenance estimate necessary for the tunnel maintenance.",20230228,G06V10/764
11614410,Integrated and automated video/structural health monitoring system,"Structural health monitoring (SHM)/nondestructive evaluation (NDE) exists as a tool in conjunction with manufactured pieces. Presently disclosed subject matter integrates automated video with a structural health monitoring system. In conjunction with bridge monitoring, integration of such two systems automates determination of the effect or correlation of vehicular loading on SHM data from a subject bridge. Such correlations help to understand the sources of structural health monitoring data, particularly acoustic emission data, in bridges and other structures, such as dams and nuclear plants. Automation of the evaluation of bridges and other structures increases accuracy and minimizes risk to workers and the public. Assessing the structural condition of bridges and other structures as presently disclosed also facilitates automated asset management of transportation systems, such as by state departments of transportation and other bridge/structural owners.",20230328,G01N21/88
11618455,Driving data used to improve infrastructure,"A system for improving transportation infrastructure includes a network access device to receive vehicle behavior data from multiple vehicles, the vehicle behavior data corresponding to at least one of driver-controlled vehicle behavior or autonomous vehicle behavior and including at least one of vehicle locations associated with the vehicle behavior data or infrastructure data indicating features of infrastructure associated with the vehicle behavior data. The system further includes a memory to store the vehicle behavior data including the at least one of the vehicle locations or the infrastructure data. The system further includes a processor to perform an analysis of the vehicle behavior data and the at least one of the vehicle locations or the infrastructure data and to identify an improvement to the transportation infrastructure to at least one of reduce traffic, increase driver comfort, or increase safety based on the analysis.",20230404,B60W40/09
11620742,Computer implemented methods for training or using a software infrastructure based on machine learning techniques,"Computer implemented method for training a software infrastructure based on machine learning techniques and intended for analysis of data obtained from a three-dimensional tomographic inspection of objects of a predetermined type, such as logs, with the aim of determining information about internal characteristics of interest of the self-same objects, wherein, once a training set comprising a plurality of objects of the same predetermined type has been selected, for each object the software infrastructure is supplied with training input data and corresponding training output data, which are processed by the software infrastructure for setting internal processing parameters of the software infrastructure which correlate the training input data with the training output data; where the training input data comprise data obtained from a three-dimensional tomographic inspection of the object, and the training output data comprise information about internal characteristics of interest assessed at internal points of the object, and where the information about the internal characteristics of interest is at least partly assessed at real internal points of the object, previously made accessible by cutting or breaking the object.",20230404,G01N23/046
11626002,Building security and emergency detection and advisement system,"Disclosed are systems and methods for providing distributed security event monitoring. The system can include a central monitoring system and sensor devices positioned throughout a premises that passively detect conditions and emit signals guiding people on the premises when a security event is detected. The sensor devices can include suites of sensors and can transmit detected conditions to the central monitoring system. The central monitoring system can combine the detected conditions to generate a collective of detected conditions, determine whether the collective of detected conditions exceeds expected threshold conditions, identify a security event on the premises based on the collective of detected conditions, classify the security event using machine learning models, generate instructions to produce audio or visual output at the sensor devices that notifies people on the premises about the security event, and transmit the instructions to the sensor devices to emit signals indicating information about the security event.",20230411,G08B21/18
11636359,Enhanced collection of training data for machine learning to improve worksite safety and operations,"Systems and methods for enhanced collection of training data for machine learning to improve worksite safety and operations. One embodiment is a system with an interface to instruct a user device of a user to capture first sensor data of an object performing one or more known actions. The system also includes a training controller to allocate points as an award to the user of the user device for correctly capturing the object performing the one or more known actions, and to generate an instruction for the user to capture second sensor data of the object performing one or more unknown actions if the user has exceeded a threshold of awarded points. The training controller trains a machine learning function based on the second sensor data of the object performing the one or more unknown actions as identified by the user having exceeded the threshold of awarded points.",20230425,G06N20/00
11640462,Systems and methods for machine learning enhanced intelligent building access endpoint security monitoring and management,Systems and methods for correlating access-system primitives generated by an access control system and semantic primitives generated by a sensor data comprehension system.,20230502,G06F18/21
11645064,Autonomous vehicle accident and emergency response,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features are provided. According to certain aspects, the operating status of the features, the identity of a vehicle operator, risk levels for operation of the vehicle by the vehicle operator, or damage to the vehicle may be determined based upon sensor or other data. According to further aspects, decisions regarding transferring control between the features and the vehicle operator may be made based upon sensor data and information regarding the vehicle operator. Additional aspects may recommend or install updates to the autonomous operation features based upon determined risk levels. Some aspects may include monitoring transportation infrastructure and communicating information about the infrastructure to vehicles.",20230509,A61B5/00
11645877,Infrastructure to support real-time review of events,"A system and method including receiving an indication of an occurrence of an event associated with the operation of an autonomous vehicle; determining at least one action to be performed, the at least one action including a data request for a specified subset of stored data associated with the operation of the autonomous vehicle from a memory; generating an output including the specified subset of data; and transmitting the specified subset of data to a remote monitoring system.",20230509,G07C5/00
11654903,Method and apparatus for preventing escape of autonomous vehicle,"A moving object escape prevention method includes: controlling, by a processor of a moving object, to drive the moving object based on autonomous driving; detecting, by the processor, whether a collision occurred by the moving object; in response to detecting the collision, transmitting, by the processor, a collision occurrence notification signal and position information of the moving object to an Intelligent Transportation System Infrastructure (ITSI); receiving, by the processor, escape-related information from the ITSI. The receiving escape-related information includes: determining, by the ITSI, whether or not the moving object escapes based on position information of the moving object; receiving, by the processor, accident handling information from the ITSI upon determining that the moving object does not escape, and receiving, by the processor, an escape warning message from the ITSI when the position information of the moving object changes.",20230523,B60W30/08
11655701,Autonomous torque and drag monitoring,Examples described herein provide a computer-implemented method that includes modeling at least one torque and drag parameter for an upstream well construction operation. The method further includes acquiring at least one measured torque and drag parameter during performing the upstream well construction operation. The method further includes interpolating friction factors at different sampling times for the at least one measured torque and drag parameter. The method further includes transposing the friction factors at the different sampling times for the at least one measured torque and drag parameter to a time-based series. The method further includes performing a corrective action responsive to determining that one or more of the friction factors at a particular point in time is indicative of the one or more of the friction factors deviating from an expected value.,20230523,E21B21/08
11656298,Deep parallel fault diagnosis method and system for dissolved gas in transformer oil,"The disclosure provides a deep parallel fault diagnosis method and system for dissolved gas in transformer oil, which relate to the field of power transformer fault diagnosis. The deep parallel fault diagnosis method includes: collecting monitoring information of dissolved gas in each transformer substation and performing a normalizing processing on the data; using the dissolved gas in the oil to build feature parameters as the input of the LSTM diagnosis model, and performing image processing on the data as the input of the CNN diagnosis model; building the LSTM diagnosis model and the CNN diagnosis model, respectively, and using the data set to train and verify the diagnosis models according to the proportion; and using the DS evidence theory calculation to perform a deep parallel fusion of the outputs of the softmax layers of the two deep learning models.",20230523,G01N33/00
11689412,Automated monitoring of infrastructure and application on cloud,"Disclosed herein are system, method, and computer program product embodiments for determining monitoring compliance for an enterprise application deployed on an application delivery platform. Existing resources, monitors and alerts are discovered with gaps in monitoring being calculated based on a comparison of monitoring objectives and the existing monitors and alerts. Gaps in monitoring are reported in a GUI reflecting effectiveness of existing monitors.",20230627,H04L41/0681
11691727,Law enforcement standoff inspection drone,"The law enforcement standoff inspection drone capability (L-SID) integrates Various technology to enable a capability implemented at the squad car level to allow the first-to-scene the ability to remotely pre-screen the scene for threat, before an on-foot approach. This is accomplished with an officer launched and controlled and specially configure small unmanned aircraft system (UAS). The LAS is integrated with a specially configured one-hand drone controller, a wearable see through heads-up-display glasses, microphone that's linked to the UAS's onboard loudspeaker, and a special processing that enables looking through a vehicle of building tinted windows during enforcement event. The system operates on a private ad-hoc network, implements IEEE 802.1 1 g/n WPA 3 standards, and provides continuous live steamed scene data throughout the enforcement event. All data and video collected is transmitted in real-time to headquarters.",20230704,B60L50/60
11696571,Systems and methods for automated maturation of oysters,"An automated oyster maturation system including a containment assembly rotatably disposed within a housing. The containment assembly includes a spiral construction that includes compartments that are in communication with one another, walls that define the compartments, and ramps. Openings disposed in the walls and ramps increase in size from the outer diameter to the inner diameter of the spiral construction so that, with every complete rotation of the containment assembly, every oyster will tumble further into the spiral construction and ascend from its original compartment into the adjacent inner compartment where opening size is larger than in the original compartment such that only oysters which have grown sufficiently can remain in the adjacent inner compartment while oysters that have not grown sufficiently yet will fall through the openings of the adjacent inner compartment into the original compartment.",20230711,A01K61/54
11710085,Artificial intelligence system and method for site safety and tracking,"A machine-learning ecosystem includes a correlation module for building at least one prediction model based on at least one data input including at least one input parameter and at least one output parameter, the prediction model relating the output parameter to the input parameter. The correlation module performs at least one threshold check on the prediction model to assess the robustness of the prediction model. The ecosystem further includes a decision module communicatively coupled to the correlation module and receiving the prediction model from the correlation module. Based on a verification check at the decision module, a confirmation, a deferral, or a rejection of the prediction model is sent from the decision module to the correlation module.",20230725,G06F18/214
11710402,Autonomous vehicle maneuver system for emergency vehicles and non-standard traffic flow,"Systems and methods are provided that may to cause autonomous navigation of autonomous vehicles in the case of non-standard traffic flows such as police stops, emergency vehicle passing, construction sites, vehicle collision sites, and other non-standard road conditions. An entity associated with the non-standard traffic flow (e.g., an emergency vehicle, road sign, barrier, etc.) may transmit or broadcast a control signal to be received (or otherwise detected) at one or more autonomous vehicles. Each autonomous vehicle, upon receiving the control signal, may autonomously navigate in accordance with the control signal, thus mitigating or eliminating dangers associated with non-standard traffic flows.",20230725,G05D1/00
11714878,Construction site defect and hazard detection using artificial intelligence,"A system and method for detecting construction site defects and hazards using artificial intelligence (AI) is provided. The system includes a movable base unit, a coordinate measurement scanner, a vision based sensor, and one or more processors. The one or more processors perform operations that include generating a two-dimensional (2D) map of the environment based at least in part on output from the coordinate measurement scanner, applying image recognition to the video stream data to identify and label a defect or hazard in the video data stream, correlating a location of the defect or hazard in the video stream data with the location in the 2D map, and recording the location of the defect or hazard in the 2D map.",20230801,G01B11/00
11714940,Artificial intelligence determination of building metrics for code compliance with user interaction,"Methods and apparatus operative to quantify building metrics using artificial intelligence analysis of a design plan. A design plan is represented using multiple dynamic components. Each dynamic component may include a parameter changeable via the user interactive interface. The dynamic components may be arranged in a user interactive interface to form a first set of boundaries, including a respective length and area, and defining at least a portion of a first unit. AI may determine a longest path of egress and a supportable occupancy load that may be used to determine compliance with parameters of a given code. The AI may assess whether a building described in the design plans complies with a relevant code set forth by an authority having jurisdiction. Codes may include, for example, codes enforcing fire safety and the Americans with Disabilities Act.",20230801,G06F30/13
11717843,System for spraying a wall surface of a building and method therefor,"The present invention provides an automated system for spraying a wall of a building. The automated system comprises a boom lift having a linear track disposed thereon, wherein the linear track is disposed horizontally with respect to the height of the building; a robotic mechanism slidably mounted on the linear track of the boom lift, the robotic mechanism further having an end effector adapted for supporting a spray nozzle thereon; a visual monitoring system configured to scan structural characteristics and profiles of the wall; a computing device disposed in communication with the visual monitoring system and the robotic mechanism, wherein the computing device is configured to receive the scanned structural characteristics and profile of the wall from the visual monitoring system; and controller communicably coupled to the computing device, the controller configured to independently control operation of respective ones of the robotic mechanism, and the spray nozzle according to the scanned structural characteristics and profiles of the wall.",20230808,B05B12/00
11719005,Autonomous power trowel,"An autonomous power trowel includes a frame supported by at least one rotor having a plurality of troweling blades, at least one power source for selectively rotating the rotor to finish an upper surface of the concrete, at least one actuator onboard the frame for selectively tilting the rotor, and a communication system onboard the frame for communicating with at least one remote communication device. Also included are a plurality of sensors onboard the frame for sensing exterior boundaries of the concrete, and at least one inspection camera for viewing the upper surface of the concrete. A controller onboard the frame is configured to selectively operate the power source, to selectively operate the actuator, to receive communications from the remote communication device, to receive signals from the sensors, and to receive signals from the inspection camera to detect any surface blemish in the concrete.",20230808,E04F21/24
11724275,System for spraying a wall surface of a building and method therefor,"The present invention provides an automated system for spraying a wall of a building. The automated system comprises a scissor lift having a linear track disposed thereon, wherein the linear track is disposed horizontally with respect to the height of the building; a robotic mechanism slidably mounted on a linear track of the scissor lift, the robotic mechanism further having an end effector adapted for supporting a spray nozzle thereon; a visual monitoring system configured to scan structural characteristics and profiles of the wall; computing device disposed in communication with the visual monitoring system and the robotic mechanism, wherein the computing device is configured to receive the scanned structural characteristics and profile of the wall from the visual monitoring system; and a controller communicably coupled to the computing device, the controller configured to independently control operation of respective ones of the robotic mechanism, and the spray nozzle according to the scanned structural characteristics and profiles of the wall.",20230815,B05B12/00
11726194,"Imaging apparatus not easily affected by radiation, and image display apparatus","The present invention is capable of determining the location(s) of waste (e.g. nuclear fuel debris, obstacles, contaminated or otherwise radioactive materials), monitoring and inspecting their surroundings, and transporting them, as well as use in repair, construction, and reactor decommissioning work in high radiation environment. Ultrasound (or sound) waves are not subject to interference from radiation. This modality is utilized in the present invention to detect and image waste and/or objects of interest. The system combines the resulting ultrasound (or sound) wave images for detecting waste and/or objects of interest with radiation information acquired by a radiation detector, to generate and adjust new composite images to display. For example, the image in the direction of strong radiation is red and the image in the direction of weak radiation is blue. Additionally, the constituent imaging apparatus may be fitted on a drone or robotic system for repair and construction work.",20230815,G01S7/52
11738461,Systems and methods for industrial robotics,"Systems and methods for industrial robotic platforms. Squads of industrial robots autonomously communicate and work together. A control center may monitor the autonomous operations. Software at the control center, squad, and robot levels forms a distributed control system that analyzes various data related to the platform for monitoring of the various systems. Artificial intelligence, such as machine learning, is implemented at the control center, squad, and/or robot levels for swarm behavior driven by intelligent decision making. Each robot includes a universal platform attached to a task-specific tooling system. The robots may be mining robots, with a mining-specific tooling system attached to the universal framework, and configured for mining tasks. The platform is modular and may be used for other industrial applications and/or robot types, such as construction, satellite swarms, fuel production, disaster recovery, communications, remote power, and others.",20230829,B25J13/06
11740160,Systems and methods of alarm triggered equipment verification using drone deployment of sensors,"An equipment monitoring system includes an unmanned vehicle, an alarm circuit remote from the unmanned vehicle, and a vehicle control circuit remote from the unmanned vehicle. The unmanned vehicle can include a communications circuit and a flight controller. The alarm circuit detects a failure condition of a building component and outputs an indication of the failure condition. The vehicle control circuit receives the indication of the failure condition from the alarm circuit; generates, based on the indication of the failure condition, an equipment verification signal that includes an identifier of the building component, a position of the building component, and a test of the building component to be executed; and transmits the equipment verification signal to the flight controller of the unmanned vehicle via the communications circuit of the unmanned vehicle to cause the unmanned vehicle to execute the test of the building component.",20230829,B64C39/02
11769285,Machine learning-based hazard visualization system,"A hazard visualization system that can use artificial intelligence to identify locations at which hazards have occurred and a cause therein and to predict locations at which hazards may occur in the future is described herein. As a result, the hazard visualization system may reduce the likelihood of structural damage and/or loss of life that could otherwise occur due to natural disasters or other hazards. For example, the hazard visualization system can train an artificial intelligence model to predict the date, time, type, severity, path, and/or other conditions of a hazard that may occur at a geographic location. As another example, the hazard visualization system can train an artificial intelligence model to identify equipment or other infrastructure depicted in geographic images.",20230926,G06F16/29
11769381,Autonomous management and notification on building pathways,"Disclosed herein are apparatuses and methods for managing building pathway information. A building and/or security management system can detect, based on receiving input from multiple sensor devices, a possible safety issue in a first pathway to an egress of a building, determine, based on detecting the possible safety issue and based on information regarding other pathways in the building, a second pathway to the egress of the building, and indicate at least the second pathway to another system.",20230926,G05B15/02
11770020,Building system with timeseries synchronization,A method for monitoring or controlling equipment of a building includes receiving a first timeseries comprising first data samples of a first variable monitored or controlled by a system and a second timeseries comprising second data samples of a second variable monitored or controlled by the system. The first data samples are at least partially asynchronous with the second data samples. The method includes synchronizing the first timeseries with the second timeseries by aggregating both the first timeseries and the second timeseries using equivalent aggregation intervals. Aggregating the first timeseries generates a third timeseries comprising aggregated values of the first variable and aggregating the second timeseries generates a fourth timeseries comprising aggregated values of the second variable. The method includes performing an automated operation to monitor or control the equipment of the building using the synchronized data samples of the third timeseries and the fourth timeseries.,20230926,F24F11/30
11785022,Building a Machine Learning model without compromising data privacy,"Systems and methods include obtaining file identifiers associated with files in production data; obtaining lab data from one or more public repositories of malware samples based on the file identifiers for the production data; and utilizing the lab data for training a machine learning process for classifying malware in the production data. The obtaining file identifiers can be based on monitoring of users associated with the files, and only the file identifiers are maintained based on the monitoring. The lab data can include samples from the one or more public repositories matching the corresponding file identifiers for the production data. The lab data can include samples from the one or more public repositories that have features closely related to features of the production data.",20231010,G06N20/00
11790509,Method of building model of defect inspection for LED display,A method of building a model of defect inspection for a light-emitting diode (LED) display is adapted to be implemented by a model-building system. The model-building system stores captured images respectively of LED displays that were displaying images. Each of the captured images corresponds to a status tag that indicates a status of the image being displayed by the respective one of the LED displays. The method includes: performing data preprocessing on the captured images to result in pieces of pre-processed data that respectively correspond to the captured images; and building a model of defect inspection by using an algorithm of machine learning based on the pieces of pre-processed data and the status tags.,20231017,G06N20/00
11797733,Artificial intelligence determination of building metrics for code compliance,"Artificial Intelligence systems receive two dimensional design plans (e.g., physical, or electronic documents) that are processed to mimic the perception, learning, problem-solving, and decision-making formerly performed by human workers assessing the design plans for compliance with an applicable code. AI analysis converts vector images into patterns that are conducive to machine learning and generates a dynamic interface that allows a user to interact with the AI findings. The AI assesses whether a building described in the design plans complies with a relevant code set forth by an authority having jurisdiction. Codes may include, for example, codes enforcing fire safety and the Americans with Disabilities Act.",20231024,G06F30/13
11805461,Method for measurement report event operation and network signaling in UE autonomous handover,"The present disclosure relates to a communication technique for fusing, with an IoT technology, a 5G communication system for supporting a higher data transfer rate than a 4G system, and a system therefor. The present disclosure may be applied to intelligent services, such as smart homes, smart buildings, smart cities, smart cars or connected cars, health care, digital education, retailing, security and safety-related services, etc. on the basis of 5G communication technologies and IoT-related technologies. Disclosed in the disclosure is a method for measurement report/event operation and network signaling in an UE autonomous handover.",20231031,H04W36/00
11807278,Autonomous vehicle passenger safety monitoring,"Systems and methods are provided for autonomous vehicle passenger safety monitoring following an autonomous vehicle route. In particular, an autonomous vehicle waits for a selected time period after a passenger exits the vehicle. In some examples, the autonomous vehicle remains until the passenger has entered a building at the passenger's destination. In some examples, the autonomous vehicle remains until the passenger is no longer detectable by the vehicle's sensors. During the waiting period, the passenger may choose to re-enter the vehicle.",20231107,B60Q1/52
11812196,Construction site safety monitoring system based on computer vision,"A construction site safety monitoring system based on computer vision is provided. It includes a data acquisition system for collecting video information of personnel and operation platforms on construction site in real time; an information processing system for detecting and distinguishing the personnel and the operation platforms in the video information, intercepting personnel feature images and video of tilted operation platform whose personnel facial temperature and inclination angles after calculation are greater than or equal to preset values as a personnel safety incident and a platform safety incident respectively; and a terminal reminder system for receiving information of at least one the personnel safety incident and the platform safety incidents and providing a reminder. It can more accurately capture feature information of personnel and operation platform, analyze and calculate the feature information, realize personnel temperature measurement and detect the safety of operation platform, and has a wider application range.",20231107,G06Q50/08
11818640,Integrated emergency event detection and mapping using a map of device locations,"A software platform includes emergency event processing functionality for detecting and mapping emergency event occurrences. The emergency event processing includes location mapping functionality for building a set of information associated with locations of devices registered with the software platform. Operators of the devices are prompted to input or verify device location information, which may be determined based on network devices through which those devices connect to access a network. The location information may be one or more of a street address, building identifier, floor identifier, suite identifier, or room identifier. When an emergency call is placed by a device registered with the software platform, the software platform uses the map of locations to determine a device location and signals it to a public safety answering point. The automated signaling of the mapped location information can improve an emergency response by directing dispatched responders to a specific location.",20231114,H04W4/02
11822423,Structured software delivery and operation automation,"A system and method for the structured automation of the delivery and operation of software functionality is proposed. A declarative notation approach is used to describe automation sequences independently from concrete automation tools and services that may be used to execute the automation sequences. An automation service abstraction layer is introduced that hides concrete automation service characteristics from the declarative automation definition layer. The service abstraction layer enables a transparent change or update of concrete automation service without affecting automation sequences that use the corresponding service abstractions. For operation automation, the automation execution may be combined with causation-capable monitoring systems that both identifies critical changes of operating conditions for which automated remediation is indicated and corresponding root cause changes for those critical changes. The remediation automation may, on notification of such a critical change, identify and apply remediation actions that counteract the identified root cause changes.",20231121,G06F11/00
11833762,Real-time process monitoring for direct ink write additive manufacturing,"Direct ink write (DIW) printing of reactive resins presents a unique challenge due to the time-dependent nature of the rheological and chemical properties of the ink. As a result, careful print optimization or process control is important to obtain consistent, high quality prints. The present invention uses a flow-through characterization cell for in situ chemical monitoring of a resin ink during DIW printing. Additionally, in-line extrusion force monitoring can be combined with off-line post inspection using machine vision. By combining in-line spectroscopy and force monitoring, it is possible to follow reaction kinetics (for example, curing of a reactive resin) and viscosity changes during printing, which can be used for a closed-loop process control. Additionally, the capability of machine vision to automatically identify and quantify print artifacts can be incorporated on the printing line to enable real-time, AI-assisted quality control of the printed products. Together, these techniques can form the building blocks of an optimized process control strategy when complex reactive ink must be used to produce printed hardware.",20231205,B29C64/124
11842642,Connected automated vehicle highway systems and methods related to heavy vehicles,"The invention provides designs and methods for a heavy vehicle operations and control system for heavy automated vehicles, which facilitates heavy vehicle operation and control for connected automated vehicle highway (CAVH) systems. The heavy vehicle management system provides heavy vehicles with individually customized information and real-time vehicle control instructions to fulfill the driving tasks such as car following, lane changing, route guidance. The heavy vehicle management system also realizes heavy vehicle related lane design, transportation operations, and management services for both dedicated and non-dedicated lanes. The heavy vehicle management system consists of one or more of the following physical subsystems: (1) Roadside unit (RSU) network, (2) Traffic Control Unit (TCU) and Traffic Control Center (TCC) network, (3) vehicles and onboard units (OBU), (4) traffic operations centers (TOCs), and (5) cloud platform. The heavy vehicle management system realizes one or more of the following function categories: sensing, transportation behavior prediction and management, planning and decision making, and vehicle control. The heavy vehicle management system is supported by road infrastructure design, real-time wired and/or wireless communication, power supply networks, and cyber safety and security services.",20231212,G08G1/01
11847913,Systems and methods for implementing multimodal safety operations with an autonomous agent,"A system and method includes an autonomous agent having a communication interface that enables the autonomous agent to communicate with a plurality of infrastructure sensing devices; a plurality of distinct health monitors that monitor distinct operational aspects of the autonomous agent; an autonomous state machine that computes a plurality of allowed operating states of the autonomous agent based on inputs from the plurality of distinct health monitors; a plurality of distinct autonomous controllers that generate a plurality of distinct autonomous control instructions; and an arbiter of autonomous control instructions that: collects, as a first input, the plurality of autonomous control instructions generated by each of the plurality of distinct autonomous controllers; collects, as a second input, data relating to the plurality of allowed operating state of the autonomous agent; and selectively enables only a subset of the autonomous control instructions to pass to driving components of the autonomous agent.",20231219,G05D1/00
11850515,Systems and methods for machine learning-based emergency egress and advisement,"The disclosed systems and methods provide for generating real-time egress plans for users in a building, based on the users' current locations. As the users' current locations change, egress plans associated with the users can be dynamically modified in real-time. The egress plans can also be generated, modified, and/or trained based on inputted information about the user. The disclosed technology can include a mobile application for presenting, in a centralized interface, information about user-specific egress plans, training the user for different emergency scenarios, improving or changing features in the building to improve safety, and user profiles. The mobile application can include training simulation games to help prepare the users to safely egress during an emergency. The disclosed technology can also predict building component and structure emergency risk levels. The disclosed technology can also designate zones in the building based on possible egress routes.",20231226,A63F13/5378
